start_time,end_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,vertical_scan,horizontal_scan,label
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179817,2.5e-05,172.31.0.1,172.31.0.2,764,53806,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179840,2.3e-05,172.31.0.1,172.31.0.2,2919,58152,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179865,2.5e-05,172.31.0.1,172.31.0.2,82,59380,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.179888,2.3e-05,172.31.0.1,172.31.0.2,1163,49508,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180058,0.00017,172.31.0.1,172.31.0.2,2091,49402,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180084,2.6e-05,172.31.0.1,172.31.0.2,4991,58866,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180107,2.3e-05,172.31.0.1,172.31.0.2,4386,49546,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180131,2.4e-05,172.31.0.1,172.31.0.2,1539,58382,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180155,2.4e-05,172.31.0.1,172.31.0.2,4618,57848,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180178,2.3e-05,172.31.0.1,172.31.0.2,501,45014,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180200,2.2e-05,172.31.0.1,172.31.0.2,3729,59720,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180223,2.3e-05,172.31.0.1,172.31.0.2,2005,51380,0,1,0,1,0,0,1,0,1
2025-01-06 11:55:54.113230,2025-01-06 11:55:54.180248,2.5e-05,172.31.0.1,172.31.0.2,1206,60766,0,1,0,1,0,0,1,0,1
