start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH
2025-01-08 13:15:57.601118,2025-01-08 13:15:57.601118,2025-01-08 13:15:57.601123,2025-01-08 13:15:57.601123,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '40']","['34011', '40']",1,1,0,1,0,0
2025-01-08 13:15:57.601133,2025-01-08 13:15:57.601133,2025-01-08 13:15:57.601140,2025-01-08 13:15:57.601140,7e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '6']","['34011', '6']",1,1,0,1,0,0
2025-01-08 13:15:57.601150,2025-01-08 13:15:57.601150,2025-01-08 13:15:57.601155,2025-01-08 13:15:57.601155,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '47']","['34011', '47']",1,1,0,1,0,0
2025-01-08 13:15:57.601165,2025-01-08 13:15:57.601165,2025-01-08 13:15:57.601171,2025-01-08 13:15:57.601171,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '18']","['34011', '18']",1,1,0,1,0,0
2025-01-08 13:15:57.601181,2025-01-08 13:15:57.601181,2025-01-08 13:15:57.601187,2025-01-08 13:15:57.601187,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '11']","['34011', '11']",1,1,0,1,0,0
2025-01-08 13:15:57.601196,2025-01-08 13:15:57.601196,2025-01-08 13:15:57.601202,2025-01-08 13:15:57.601202,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '35']","['34011', '35']",1,1,0,1,0,0
2025-01-08 13:15:57.601212,2025-01-08 13:15:57.601212,2025-01-08 13:15:57.601217,2025-01-08 13:15:57.601217,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '3']","['34011', '3']",1,1,0,1,0,0
2025-01-08 13:15:57.601227,2025-01-08 13:15:57.601227,2025-01-08 13:15:57.601233,2025-01-08 13:15:57.601233,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '10']","['34011', '10']",1,1,0,1,0,0
2025-01-08 13:15:57.601244,2025-01-08 13:15:57.601244,2025-01-08 13:15:57.601251,2025-01-08 13:15:57.601251,7e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '39']","['34011', '39']",1,1,0,1,0,0
2025-01-08 13:15:57.601260,2025-01-08 13:15:57.601260,2025-01-08 13:15:57.601266,2025-01-08 13:15:57.601266,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '33']","['34011', '33']",1,1,0,1,0,0
2025-01-08 13:15:57.601276,2025-01-08 13:15:57.601276,2025-01-08 13:15:57.601282,2025-01-08 13:15:57.601282,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '17']","['34011', '17']",1,1,0,1,0,0
2025-01-08 13:15:57.601292,2025-01-08 13:15:57.601292,2025-01-08 13:15:57.601297,2025-01-08 13:15:57.601297,5e-06,['127.0.0.1'],['127.0.0.1'],"['15', '34011']","['15', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601307,2025-01-08 13:15:57.601307,2025-01-08 13:15:57.601313,2025-01-08 13:15:57.601313,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '8']","['34011', '8']",1,1,0,1,0,0
2025-01-08 13:15:57.601324,2025-01-08 13:15:57.601324,2025-01-08 13:15:57.601329,2025-01-08 13:15:57.601329,5e-06,['127.0.0.1'],['127.0.0.1'],"['7', '34011']","['7', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601339,2025-01-08 13:15:57.601339,2025-01-08 13:15:57.601346,2025-01-08 13:15:57.601346,7e-06,['127.0.0.1'],['127.0.0.1'],"['30', '34011']","['30', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601356,2025-01-08 13:15:57.601356,2025-01-08 13:15:57.601361,2025-01-08 13:15:57.601361,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '14']","['34011', '14']",1,1,0,1,0,0
2025-01-08 13:15:57.601374,2025-01-08 13:15:57.601374,2025-01-08 13:15:57.601380,2025-01-08 13:15:57.601380,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '31']","['34011', '31']",1,1,0,1,0,0
2025-01-08 13:15:57.601390,2025-01-08 13:15:57.601390,2025-01-08 13:15:57.601396,2025-01-08 13:15:57.601396,6e-06,['127.0.0.1'],['127.0.0.1'],"['32', '34011']","['32', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601406,2025-01-08 13:15:57.601406,2025-01-08 13:15:57.601411,2025-01-08 13:15:57.601411,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '44']","['34011', '44']",1,1,0,1,0,0
2025-01-08 13:15:57.601741,2025-01-08 13:15:57.601741,2025-01-08 13:15:57.601746,2025-01-08 13:15:57.601746,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '28']","['34011', '28']",1,1,0,1,0,0
2025-01-08 13:15:57.601754,2025-01-08 13:15:57.601754,2025-01-08 13:15:57.601760,2025-01-08 13:15:57.601760,6e-06,['127.0.0.1'],['127.0.0.1'],"['48', '34011']","['48', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601769,2025-01-08 13:15:57.601769,2025-01-08 13:15:57.601774,2025-01-08 13:15:57.601774,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '43']","['34011', '43']",1,1,0,1,0,0
2025-01-08 13:15:57.601783,2025-01-08 13:15:57.601783,2025-01-08 13:15:57.601788,2025-01-08 13:15:57.601788,5e-06,['127.0.0.1'],['127.0.0.1'],"['36', '34011']","['36', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601796,2025-01-08 13:15:57.601796,2025-01-08 13:15:57.601802,2025-01-08 13:15:57.601802,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '46']","['34011', '46']",1,1,0,1,0,0
2025-01-08 13:15:57.601811,2025-01-08 13:15:57.601811,2025-01-08 13:15:57.601816,2025-01-08 13:15:57.601816,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '27']","['34011', '27']",1,1,0,1,0,0
2025-01-08 13:15:57.601825,2025-01-08 13:15:57.601825,2025-01-08 13:15:57.601830,2025-01-08 13:15:57.601830,5e-06,['127.0.0.1'],['127.0.0.1'],"['20', '34011']","['20', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601840,2025-01-08 13:15:57.601840,2025-01-08 13:15:57.601845,2025-01-08 13:15:57.601845,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '38']","['34011', '38']",1,1,0,1,0,0
2025-01-08 13:15:57.601854,2025-01-08 13:15:57.601854,2025-01-08 13:15:57.601859,2025-01-08 13:15:57.601859,5e-06,['127.0.0.1'],['127.0.0.1'],"['5', '34011']","['5', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601867,2025-01-08 13:15:57.601867,2025-01-08 13:15:57.601873,2025-01-08 13:15:57.601873,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '9']","['34011', '9']",1,1,0,1,0,0
2025-01-08 13:15:57.601882,2025-01-08 13:15:57.601882,2025-01-08 13:15:57.601887,2025-01-08 13:15:57.601887,5e-06,['127.0.0.1'],['127.0.0.1'],"['0', '34011']","['0', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601896,2025-01-08 13:15:57.601896,2025-01-08 13:15:57.601901,2025-01-08 13:15:57.601901,5e-06,['127.0.0.1'],['127.0.0.1'],"['19', '34011']","['19', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601909,2025-01-08 13:15:57.601909,2025-01-08 13:15:57.601915,2025-01-08 13:15:57.601915,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '49']","['34011', '49']",1,1,0,1,0,0
2025-01-08 13:15:57.601924,2025-01-08 13:15:57.601924,2025-01-08 13:15:57.601929,2025-01-08 13:15:57.601929,5e-06,['127.0.0.1'],['127.0.0.1'],"['13', '34011']","['13', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601938,2025-01-08 13:15:57.601938,2025-01-08 13:15:57.601943,2025-01-08 13:15:57.601943,5e-06,['127.0.0.1'],['127.0.0.1'],"['41', '34011']","['41', '34011']",1,1,0,1,0,0
2025-01-08 13:15:57.601953,2025-01-08 13:15:57.601953,2025-01-08 13:15:57.601958,2025-01-08 13:15:57.601958,5e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '1']","['34011', '1']",1,1,0,1,0,0
2025-01-08 13:15:57.601967,2025-01-08 13:15:57.601967,2025-01-08 13:15:57.601973,2025-01-08 13:15:57.601973,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '24']","['34011', '24']",1,1,0,1,0,0
2025-01-08 13:15:57.601981,2025-01-08 13:15:57.601981,2025-01-08 13:15:57.601987,2025-01-08 13:15:57.601987,6e-06,['127.0.0.1'],['127.0.0.1'],"['34011', '2']","['34011', '2']",1,1,0,1,0,0
2025-01-08 13:15:57.601996,2025-01-08 13:15:57.601996,2025-01-08 13:15:57.602001,2025-01-08 13:15:57.602001,5e-06,['127.0.0.1'],['127.0.0.1'],"['42', '34011']","['42', '34011']",1,1,0,1,0,0
