start_request_time,end_request_time,start_response_time,end_response_time,duration,src_ip,dst_ip,src_port,dst_port,SYN,ACK,FIN,RST,URG,PSH,label
2025-01-08 16:02:27.293424,2025-01-08 16:02:27.293424,2025-01-08 16:02:27.293432,2025-01-08 16:02:27.293432,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['42084', '82']","['42084', '82']",1,1,0,1,0,0,0
2025-01-08 16:02:27.293808,2025-01-08 16:02:27.293808,2025-01-08 16:02:27.293815,2025-01-08 16:02:27.293815,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['58898', '83']","['83', '58898']",1,1,0,1,0,0,0
2025-01-08 16:02:27.294204,2025-01-08 16:02:27.294204,2025-01-08 16:02:27.294212,2025-01-08 16:02:27.294212,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['84', '50974']","['84', '50974']",1,1,0,1,0,0,0
2025-01-08 16:02:27.294611,2025-01-08 16:02:27.294611,2025-01-08 16:02:27.294619,2025-01-08 16:02:27.294619,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['34026', '85']","['85', '34026']",1,1,0,1,0,0,0
2025-01-08 16:02:27.295025,2025-01-08 16:02:27.295025,2025-01-08 16:02:27.295033,2025-01-08 16:02:27.295033,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['86', '35770']","['86', '35770']",1,1,0,1,0,0,0
2025-01-08 16:02:27.295586,2025-01-08 16:02:27.295586,2025-01-08 16:02:27.295594,2025-01-08 16:02:27.295594,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['48920', '87']","['87', '48920']",1,1,0,1,0,0,0
2025-01-08 16:02:27.295989,2025-01-08 16:02:27.295989,2025-01-08 16:02:27.295997,2025-01-08 16:02:27.295997,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['88', '54096']","['54096', '88']",1,1,0,1,0,0,0
2025-01-08 16:02:27.296367,2025-01-08 16:02:27.296367,2025-01-08 16:02:27.296375,2025-01-08 16:02:27.296375,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['34658', '89']","['34658', '89']",1,1,0,1,0,0,0
2025-01-08 16:02:27.296745,2025-01-08 16:02:27.296745,2025-01-08 16:02:27.296753,2025-01-08 16:02:27.296753,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['90', '42924']","['90', '42924']",1,1,0,1,0,0,0
2025-01-08 16:02:27.297130,2025-01-08 16:02:27.297130,2025-01-08 16:02:27.297138,2025-01-08 16:02:27.297138,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['56978', '91']","['56978', '91']",1,1,0,1,0,0,0
2025-01-08 16:02:27.297668,2025-01-08 16:02:27.297668,2025-01-08 16:02:27.297675,2025-01-08 16:02:27.297675,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['50214', '92']","['50214', '92']",1,1,0,1,0,0,0
2025-01-08 16:02:27.298082,2025-01-08 16:02:27.298082,2025-01-08 16:02:27.298090,2025-01-08 16:02:27.298090,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['93', '33486']","['93', '33486']",1,1,0,1,0,0,0
2025-01-08 16:02:27.298483,2025-01-08 16:02:27.298483,2025-01-08 16:02:27.298491,2025-01-08 16:02:27.298491,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['94', '34126']","['94', '34126']",1,1,0,1,0,0,0
2025-01-08 16:02:27.298881,2025-01-08 16:02:27.298881,2025-01-08 16:02:27.298888,2025-01-08 16:02:27.298888,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['95', '33672']","['95', '33672']",1,1,0,1,0,0,0
2025-01-08 16:02:27.299256,2025-01-08 16:02:27.299256,2025-01-08 16:02:27.299264,2025-01-08 16:02:27.299264,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['57418', '96']","['57418', '96']",1,1,0,1,0,0,0
2025-01-08 16:02:27.299638,2025-01-08 16:02:27.299638,2025-01-08 16:02:27.299645,2025-01-08 16:02:27.299645,7e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['40940', '97']","['40940', '97']",1,1,0,1,0,0,0
2025-01-08 16:02:27.300205,2025-01-08 16:02:27.300205,2025-01-08 16:02:27.300213,2025-01-08 16:02:27.300213,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['98', '53516']","['98', '53516']",1,1,0,1,0,0,0
2025-01-08 16:02:27.300608,2025-01-08 16:02:27.300608,2025-01-08 16:02:27.300616,2025-01-08 16:02:27.300616,8e-06,"['172.31.0.2', '172.31.0.1']","['172.31.0.2', '172.31.0.1']","['58378', '99']","['58378', '99']",1,1,0,1,0,0,0
